City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
3,Kahului,US,77.02,few clouds,20.8947,-156.47,Maui Seaside Hotel
15,Laguna,US,77.31,clear sky,38.421,-121.4238,"Holiday Inn Express & Suites Elk Grove Central - Hwy 99, an IHG Hotel"
20,Cabo San Lucas,MX,84.51,clear sky,22.8909,-109.9124,Hotel Tesoro Los Cabos
22,Palmas,BR,84.07,few clouds,-10.2128,-48.3603,Hotel Lago da Palma
25,Esna,EG,84.22,clear sky,25.2934,32.554,Orient Star Dahabyia Isna 05 Nights Each Sunday
28,Kruisfontein,ZA,78.4,overcast clouds,-34.0033,24.7314,Oyster Bay House Rental
31,Sao Filipe,CV,78.26,scattered clouds,14.8961,-24.4956,Hotel Xaguate
32,Atuona,PF,78.04,light rain,-9.8,-139.0333,Villa Enata
33,Shu,KZ,75.9,clear sky,43.5983,73.7614,Shyngyzkhan
38,Port Hedland,AU,84.25,overcast clouds,-20.3167,118.5667,The Esplanade Hotel
42,Mahebourg,MU,76.24,broken clouds,-20.4081,57.7,Shandrani Beachcomber Resort & Spa
44,Acapulco,MX,80.04,overcast clouds,16.8634,-99.8901,HS Hotsson Smart Acapulco
48,Nosy Varika,MG,75.38,broken clouds,-20.5833,48.5333,Hotel Volazara
50,Manaure,CO,82.45,overcast clouds,11.7751,-72.4445,Hotel Palaaima
53,Shimoda,JP,82.76,few clouds,34.6667,138.95,Shimoda Tokyu Hotel
56,Kashi,CN,76.21,dust,39.4547,75.9797,帕米尔青年旅舍
58,Kirakira,SB,79.95,overcast clouds,-10.4544,161.9205,SanBiz Lodge
59,Havelock,US,80.55,light rain,34.8791,-76.9013,Sherwood Motel
60,Victoria,HK,87.78,overcast clouds,22.2855,114.1577,Mini Hotel Central
62,Saint-Philippe,RE,76.59,scattered clouds,-21.3585,55.7679,"Chambres d'hôte ""La Trinité"""
63,Riachao Das Neves,BR,76.6,scattered clouds,-11.7461,-44.91,Casa Costa
65,Jibuti,DJ,89.02,scattered clouds,11.5,42.5,Orchid Main Camp Goubet
72,Progreso,MX,78.12,overcast clouds,21.2833,-89.6667,Playa Linda Hotel
