,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
0,Tasiilaq,GL,65.6145,-37.6368,33.96,76,100,7.0,overcast clouds
1,Butaritari,KI,3.0707,172.7902,83.26,76,9,17.67,clear sky
2,Ushuaia,AR,-54.8,-68.3,44.26,76,75,13.8,light rain
3,Saint George,US,37.1041,-113.5841,79.39,22,1,1.01,clear sky
4,San Patricio,US,28.017,-97.5169,75.81,58,0,4.7,clear sky
5,Bluff,NZ,-46.6,168.3333,50.81,77,100,10.8,overcast clouds
6,Severo-Kurilsk,RU,50.6789,156.125,48.76,95,100,23.38,light rain
7,El Alto,PE,-4.2714,-81.2147,63.1,84,92,9.24,overcast clouds
8,Shetpe,KZ,44.1667,52.1167,81.68,13,0,28.3,clear sky
9,Jamestown,US,42.097,-79.2353,54.07,82,90,11.01,overcast clouds
10,Hermanus,ZA,-34.4187,19.2345,64.8,73,85,8.77,overcast clouds
11,Norman Wells,CA,65.282,-126.8329,39.24,75,40,10.36,scattered clouds
12,Mataura,NZ,-46.1927,168.8643,50.49,75,100,2.95,overcast clouds
13,Pattoki,PK,31.0167,73.85,91.49,48,61,6.11,broken clouds
14,Grand Gaube,MU,-20.0064,57.6608,77.4,69,7,14.0,light rain
15,Komsomolskiy,UZ,40.4272,71.7189,81.32,19,0,4.61,clear sky
16,Punta Arenas,CL,-53.15,-70.9167,43.29,85,100,13.0,overcast clouds
17,Port Alfred,ZA,-33.5906,26.891,67.28,59,82,11.97,broken clouds
18,Rikitea,PF,-23.1203,-134.9692,74.1,78,100,20.69,overcast clouds
19,Vila Franca Do Campo,PT,37.7167,-25.4333,64.81,78,63,4.41,broken clouds
20,Vestmanna,FO,62.1564,-7.1664,49.12,93,75,29.93,broken clouds
21,Nikolskoye,RU,59.7035,30.7861,46.29,65,100,11.27,overcast clouds
22,Zhigansk,RU,66.7697,123.3711,42.6,61,100,13.47,overcast clouds
23,Cidreira,BR,-30.1811,-50.2056,60.75,94,100,5.06,overcast clouds
24,Luganville,VU,-15.5333,167.1667,77.11,87,95,12.8,light rain
25,Hilo,US,19.7297,-155.09,73.8,84,1,5.75,clear sky
26,Arawa,PG,-6.2132,155.5367,78.37,88,100,3.38,overcast clouds
27,Albany,US,42.6001,-73.9662,63.37,95,100,3.09,moderate rain
28,Sturgis,US,41.7992,-85.4192,51.6,57,40,5.75,scattered clouds
29,East London,ZA,-33.0153,27.9116,68.94,56,0,8.05,clear sky
30,Saldanha,ZA,-33.0117,17.9442,55.45,79,26,4.0,scattered clouds
